OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
79712,51153900202,51,153,900202,,,,,3285080.9375,7853.31206960797
79713,51153900201,51,153,900201,,,11,1.88999999,2589984.48046875,8087.16153247541
79714,51073100301,51,073,100301,,,,,16685155.359375,30379.0276450746
79715,51073100201,51,073,100201,,,11,3.6500001,143537164.574219,66601.8640816905
79716,51073100203,51,073,100203,,,77,19.48999977,98060158.5429688,125037.229399062
79717,51073100500,51,073,100500,,,,,64428545.8320313,106349.890481252
79718,51073100400,51,073,100400,,,,,95576047.5625,155882.838448871
79719,51199050304,51,199,050304,,,,,18390027.2851563,59053.235685818
79720,51041101009,51,041,101009,,,,,25214178.015625,21887.8203790638
79721,51660000301,51,660,000301,,,,,9206990.79296875,12792.5099397317
79722,51107611206,51,107,611206,,,,,5815559.33203125,13497.9953605584
79723,51107610701,51,107,610701,,,,,27438969.1875,26432.4465937993
79724,51107610503,51,107,610503,,,,,17689257.7148438,21207.8963790966
79725,51041100920,51,041,100920,,,,,5260067.953125,10744.578144873
79726,51735340200,51,735,340200,,,,,14926309.5351563,35737.571986492
79727,51735340300,51,735,340300,,,,,39131431.3828125,108399.170615658
79728,51199050305,51,199,050305,,,,,13895315.1835938,19052.8608644588
79729,51510200900,51,510,200900,,,,,3567245.7109375,9140.75721731692
79730,51041100923,51,041,100923,,,,,5122230.84375,9646.40784246485
79731,51041100931,51,041,100931,,,,,13700453.7734375,16505.0055530231
79806,51107611804,51,107,611804,,,28,5.15999985,15726114.03125,18275.8752111536
79809,51107611015,51,107,611015,,,,,6339186.32421875,13611.521429524
79810,51059432800,51,059,432800,,,,,5618250.2734375,13359.9575776721
79811,51059450800,51,059,450800,,,,,3342912.65234375,9145.90199644427
79812,51510201400,51,510,201400,,,,,1671805.671875,6835.73292992755
79813,51153900502,51,153,900502,,,,,3506018.7109375,10303.4546979555
79814,51187020400,51,187,020400,,,44,4.67000008,11266842.8085938,14939.7347921596
79815,51045050100,51,045,050100,,,11,2.82999992,1356261475.24609,188602.971778994
79816,51059420300,51,059,420300,,,,,7592545.21484375,13405.3903254234
79817,51081880101,51,081,880101,,,,,464485498.617188,137107.036894883
79818,51079030101,51,079,030101,,,32,8.10000038,245902361.050781,98437.0277702973
79819,51073100302,51,073,100302,,,,,65535639.7617188,44919.8300466465
79820,51107610507,51,107,610507,,,,,7853845.10546875,13525.8570970946
79821,51107611207,51,107,611207,,,,,4423421.49609375,9789.52808293619
79822,51041100210,51,041,100210,,,,,5376578.5625,10579.3008262619
79823,51041100919,51,041,100919,,,13,2.46000004,22904769.2070313,19849.0574627009
79824,51041100816,51,041,100816,,,13,4.19000006,6921784.5546875,11639.5544512623
79825,51041100921,51,041,100921,,,,,5969811.9296875,13232.9300012328
79826,51019030202,51,019,030202,,,,,426336069.625,104709.71492012
79827,51019030602,51,019,030602,,,,,70726369.3398438,43331.9531795529
79828,51019030605,51,019,030605,,,,,214940868.15625,95076.2081180928
79829,51019030604,51,019,030604,,,,,157448726.0625,89099.4873813451
79830,51019030601,51,019,030601,,,,,91736912.8867188,51709.3660863351
79831,51019030401,51,019,030401,,,,,220281247.371094,108949.821445054
79832,51019030501,51,019,030501,,,,,369184710.824219,141623.393143337
79833,51019030603,51,019,030603,,,,,79519381.171875,56043.2192617111
79834,51019030101,51,019,030101,,,,,191211171.222656,84423.6334203945
79835,51041100806,51,041,100806,,,17,2.08999991,3471936.48828125,8272.46114967563
79836,51041100922,51,041,100922,,,,,10435529.9101563,13832.5339426706
79837,51095080203,51,095,080203,,,,,25126598.4335938,23785.3375714561
79838,51095080205,51,095,080205,,,61,5.07999992,10140016.34375,22373.700491401
79839,51095080304,51,095,080304,,,,,48205417.2265625,45164.7102753193
79862,51059415700,51,059,415700,,,,,5701695.7890625,9840.26917683457
79902,51107611010,51,107,611010,,,,,2051993.65625,7239.15045576319
79903,51510201500,51,510,201500,,,,,2018750.21484375,6219.0327919644
79904,51510201900,51,510,201900,,,,,1141065.75390625,7230.4384245328
79905,51510202002,51,510,202002,,,,,1013443.9609375,4832.63384222208
79906,51001090202,51,001,090202,,,20,4.46000004,195171160.972656,104462.475109953
79907,51001090402,51,001,090402,,,89,16.86000061,178352553.054688,195579.395982988
79908,51001090401,51,001,090401,,,13,4.78000021,135235534.023438,122210.6545282
79909,51001090201,51,001,090201,,,15,4.11999989,110289540.003906,70908.8124555936
79910,51001090102,51,001,090102,,,,,10492273.7265625,28382.3000868656
79911,51001090101,51,001,090101,,,,,20348405.7304688,77719.8951586218
79912,51121020202,51,121,020202,,,,,9390291.14453125,15874.3222246964
79913,51119951100,51,119,951100,,,,,99527323.6171875,67034.2785153371
79914,51059432701,51,059,432701,,,,,3347432.62109375,11543.45465641
79915,51059481500,51,059,481500,,,,,8198747.86328125,18284.0798595724
79916,51059451200,51,059,451200,,,,,3521842.35546875,9124.12069438026
79917,51800065200,51,800,065200,,,18,6.28999996,5299400.94140625,14711.3402727063
79918,51177020305,51,177,020305,,,20,1.91999996,6365072.02734375,11327.6972163701
79919,51059482504,51,059,482504,,,,,6923213.26171875,10623.5538233312
79920,51059422101,51,059,422101,,,135,10.23999977,4046149.3125,8765.59621175874
79921,51059421701,51,059,421701,,,54,7.73999977,1394175.30859375,5377.47576278448
79922,51081880200,51,081,880200,,,19,3.6099999,732279691.121094,166103.456280081
79923,51161031101,51,161,031101,,,19,1.86000001,8120400.76953125,13412.0542509635
79924,51179010212,51,179,010212,,,15,3.69000006,4939036.34765625,10528.8458021489
79925,51710000902,51,710,000902,,,,,27982714.921875,65347.0203944583
79926,51735340100,51,735,340100,,,,,9368138.09765625,41569.5418587213
79927,51041100817,51,041,100817,,,14,2.55999994,8215802.78515625,11473.6570951948
79928,51131990100,51,131,990100,,,,,960390.078125,32139.59933933
79929,51041100929,51,041,100929,,,,,12337205.0859375,17443.4119480589
79930,51139030200,51,139,030200,,,,,293030304.136719,96698.6794665652
79931,51139030300,51,139,030300,,,22,3.20000005,199544796.664063,75378.1889928679
79932,51139030100,51,139,030100,,,,,219899865.765625,74430.3691291477
79933,51139030500,51,139,030500,,,,,376077400.882813,132481.412686254
79934,51025930302,51,025,930302,,,,,536610474.933594,123036.68186389
79935,51025930301,51,025,930301,,,,,394417319.234375,95184.9683283855
79936,51147930302,51,147,930302,,,,,382183788,114877.977419603
79937,51041100932,51,041,100932,,,,,4497383.18359375,9652.35362982548
79938,51550020804,51,550,020804,,,,,59051340.4570313,39526.0234109528
79939,51165010900,51,165,010900,,,,,112229850.644531,50700.8367367027
79959,51760070601,51,760,070601,,,45,2.48000002,5546798.3828125,10908.8734386275
79960,51770002600,51,770,002600,,,72,11.77999973,2507697.71875,8230.79863437417
79961,51059491601,51,059,491601,,,50,7.15999985,3070262.75390625,10963.9036040138
79962,51059490101,51,059,490101,,,50,10.59000015,8111058.24609375,11887.1275427637
79963,51059491301,51,059,491301,,,124,20.62999916,26883921.609375,26501.8020237414
79964,51059450100,51,059,450100,,,,,3494131.75,9308.55483384263
79965,51059491000,51,059,491000,,,,,29599324.078125,27980.1854449575
79966,51059980300,51,059,980300,,,,,3844656.70703125,9296.88056914191
