year,funding_sources,project_name,project_address,type,units_affordable,units_rehab,units_psh,units_below30,units_below50,units_below60,units_below80,units_marketrate,amt_vhtf,amt_home,amt_nhtf,amt_psh,amt_other,tenure,dist_cong,dist_house,dist_senate,lat,long
2018-2019,"HOME, NHTF, VHTF",Residences at North Hill 47,"7201 Richmond Highway, Alexandria, VA 22306-9998",I/DD,47,0,2,3,10,34,0,0,200000,800000,700000,0,19764662,Rental,8,State House District 44,State Senate District 36,38.761929,-77.083845
2018-2019,"HOME, NHTF, VHTF",Residences at North Hill 94,"7201 Richmond Highway, Alexandria, VA 22306-9998",1/DD,94,0,2,7,15,72,0,0,500000,800000,700000,0,35534250,Rental,8,State House District 44,State Senate District 36,38.761929,-77.083845
2018-2019,VHTF,Brookland Park Apartments,"1224 East Brookland Park Boulevard, Richmond, VA 23222-3113",I/DD,66,0,7,0,7,59,0,0,700000,0,0,0,11785605,Rental,4,State House District 71,State Senate District 9,37.570263,-77.419062
2018-2019,"NHTF, VHTF",Churchhill North Phase 2A Family,"1611 North 31st Street, Richmond, VA 23223-5404",I/DD,70,0,7,17,25,28,0,0,700000,0,700000,0,17443742,Rental,4,State House District 70,State Senate District 16,37.540154,-77.401594
2018-2019,VHTF,American Legion,"3445 Washington Boulevard, Arlington, VA 22201-4507",PSH (Veteran),80,0,8,0,20,50,10,0,700000,0,0,0,35359944,Rental,8,State House District 47,State Senate District 31,38.886551,-77.10245
2018-2019,VHTF,The Arden - Building A,"2317 Huntington Ave., Alexandria, VA 22303-1545",I/DD,79,0,8,0,40,39,0,0,700000,0,0,0,35563635,Rental,8,State House District 45,State Senate District 30,38.794175,-77.072005
2018-2019,VHTF,Crescent Halls,"500 S. First Street, Charlottesville, VA 22901-5651",NA,105,105,11,21,32,52,0,0,800000,0,0,0,16474592,Rental,5,State House District 57,State Senate District 25,38.026837,-78.483051
2018-2019,VHTF,Keswick II,"7700 Keswick Dr., Spotsylvania, VA 22551-2516",10 (I/DD); 12 (Disabled),116,0,22,0,59,57,0,0,700000,0,0,0,22182157,Rental,7,State House District 54,State Senate District 17,38.303592,-77.728056
2018-2019,VHTF,Daffodil Gardens 2,"6000 Fiddlers Green Rd, Gloucester, VA 23061 ",Senior,40,0,40,0,20,20,0,0,325000,0,0,0,6647959,Rental,1,State House District 98,State Senate District 3,37.414737,-76.556661
2018-2019,VHTF,New Lake Anne House,"11444 North Shore Drive, Reston, VA 20190-4250",Senior,240,0,240,0,0,240,0,0,700000,0,0,0,83027884,Rental,11,State House District 36,State Senate District 32,38.970214,-77.34205
2019-2020,VHTF,Keswick Senior Apartments,"8900 Lake Anna Parkway, Spotsylvania, VA 22551-2516",NA,100,0,0,0,50,28,22,0,700000,0,0,0,16081672,Rental,7,State House District 56,State Senate District 17,38.202756,-77.606068
2019-2020,VHTF,Church Hill North Phase 2B,"3201 South Rabza Blvd., Richmond, VA 23223-5404",NA,45,0,0,0,27,18,0,0,700000,0,0,0,9264214,Rental,4,State House District 70,State Senate District 16,37.539005,-77.40139
2019-2020,VHTF,Cameo Street Apartments,"14 W. Jackson Street, Richmond, VA 23220-0000",NA,67,0,0,0,34,33,0,0,800000,0,0,0,14459937,Rental,4,State House District 71,State Senate District 9,37.549883,-77.438964
2019-2020,VHTF,Northway ,"128 Wilson Ave., Galax, VA 24333-3127",NA,72,72,0,0,36,36,0,0,500000,0,0,0,7892022,Rental,9,State House District 5,State Senate District 20,36.670906,-80.915263
2019-2020,VHTF,CLT Scattered Site Homeownership,"203 N. Robinson Street, Richmond, VA 23220-4018",NA,11,0,0,0,0,0,11,0,440000,0,0,0,1953990,Homebuyer,4,State House District 68,State Senate District 9,37.554655,-77.471532
2019-2020,VHTF,Brady Square 9%,"2200 Brady Street, Richmond, VA 23234-0000",NA,66,0,0,3,30,33,0,0,700000,0,0,0,13573059,Rental,4,State House District 69,State Senate District 16,37.490632,-77.438513
2019-2020,"NHTF, VHTF",The Arden - Building B,"2317 Huntington Avenue, Alexandria, VA 22303-1545",NA,47,0,0,4,,42,0,1,800000,0,800000,0,19756269,Rental,8,State House District 45,State Senate District 30,38.794175,-77.072005
2019-2020,VHTF,Mt. Sterling Senior 4%,"Bartholomew Fair Drive, Sterling, VA 20164-0000",Disabled; Seniors,50,0,5,0,5,40,0,0,700000,0,0,0,15573483,Rental,10,State House District 87,State Senate District 33,39.026131,-77.395661
2019-2020,"NHTF, VHTF",South First Street Phase One,"1000 S. 1st Street, Charlottesville, VA 22902-6059",Disabled,62,0,7,13,18,31,0,0,400000,0,400000,0,17123790,Rental,5,State House District 57,State Senate District 25,38.021511,-78.486792
2019-2020,"NHTF, VHTF",Senseny Place,"1527 Senseny Road, Winchester, VA 22602-6423",ID/DD and SMI ,63,0,7,6,26,0,31,0,800000,0,800000,0,13222092,Rental,10,State House District 33,State Senate District 27,39.169583,-78.134604
2019-2020,VHTF,King William Manor ,"141 Pinecrest Lane, Aylett, VA 23009-4182",DD,40,0,7,0,20,20,0,0,700000,0,0,0,7442036,Rental,9,State House District 5,State Senate District 40,37.750298,-77.137119
2019-2020,VHTF,The Waypoint,"3846 King Street, Alexandria, VA 22302-1906",ID/DD and SMI ,81,0,9,9,35,37,0,0,700000,0,0,0,36227948,Rental,8,State House District 46,State Senate District 30,38.831443,-77.094621
2019-2020,VHTF,The Cadence,"4333 Arlington Boulevard, Arlington, VA 22203-2904",NA,97,0,10,0,46,11,40,0,700000,0,0,0,46449100,Rental,8,State House District 47,State Senate District 31,38.870098,-77.104906
2019-2020,"HOME, VHTF, NHTF",Friendship Court Apartments Phase I,"418 Garret Street, Charlottesville, VA 22902-5664",Disabled ,106,0,12,11,44,21,30,0,700000,700000,600000,0,35045361,Rental,5,State House District 57,State Senate District 25,38.027294,-78.480491
2019-2020,"HOME, NHTF, VHTF",Cool Lane Apartments,"1900 Cool Lane, Richmond, VA 23223-3912",Homeless ,86,86,43,0,86,0,0,0,700000,650000,650000,0,16083137,Rental,4,State House District 74,State Senate District 9,37.553505,-77.409736
