DATE,VANGSP
2000-01-01,268470.9
2001-01-01,285635.9
2002-01-01,295355.7
2003-01-01,311665.7
2004-01-01,332115.1
2005-01-01,358069.7
2006-01-01,376235.7
2007-01-01,391699.8
2008-01-01,404634.9
2009-01-01,410967.4
2010-01-01,426992.4
2011-01-01,435180.3
2012-01-01,445973.6
2013-01-01,457640.5
2014-01-01,465181.8
2015-01-01,483786.5
2016-01-01,496021.1
2017-01-01,511114.9
2018-01-01,532906.5
2019-01-01,557764.4
2020-01-01,556992.6
2021-01-01,604957.6
2022-01-01,649392.6
