DATE,VACONS
2021-02-01,205.3
2021-03-01,205.7
2021-04-01,206.8
2021-05-01,207.2
2021-06-01,206.8
2021-07-01,207.0
2021-08-01,206.7
2021-09-01,205.8
2021-10-01,207.3
2021-11-01,207.7
2021-12-01,207.6
2022-01-01,207.1
2022-02-01,208.1
2022-03-01,208.3
2022-04-01,208.1
2022-05-01,207.6
2022-06-01,208.5
2022-07-01,209.5
2022-08-01,210.3
2022-09-01,211.5
2022-10-01,212.6
2022-11-01,212.1
2022-12-01,214.7
2023-01-01,215.8
2023-02-01,214.5
2023-03-01,213.4
2023-04-01,212.5
2023-05-01,215.1
2023-06-01,211.9
