"Year","Quarter","Group","Unit","Inflation Deflator","Real Total Wealth","Real Wealth Share","Real Wealth Per Unit Growth","Real Wealth Per Unit"
"","1","Middle 40%","","0.59040364","17678846053445.31","0.27749118094166275","0","299261.95621332416"
"","2","Middle 40%","","0.5940838466666667","17659900173677.72","0.27924783637022177","-0.004812485283217427","297821.76245322067"
"","3","Middle 40%","","0.59756557","17725405440440.13","0.2802918538713623","-0.004451728736761567","297929.7231630298"
"","4","Middle 40%","","0.6008106066666666","17630685940612.98","0.2825322272916019","-0.012948690716494581","295386.9056991047"
"","1","Middle 40%","","0.6047504533333333","17442624221246.479","0.2888447022685263","-0.0262948599165243","291392.90499634977"
"","2","Middle 40%","","0.6084077733333334","17791353000116.703","0.2886432772189606","-0.009503254724872647","296417.9936139652"
"","3","Middle 40%","","0.6107976633333334","17455661037971.992","0.2905631020542637","-0.030380020951249948","290170.37171365134"
"","4","Middle 40%","","0.6126988733333333","17647121915119.87","0.2902181506713428","-0.021735975070989896","292757.2057933757"
"","1","Middle 40%","","0.6146763566666666","18035711398701.082","0.2881278777690524","-0.003292102589858814","298276.75515222806"
"","2","Middle 40%","","0.6168066466666667","17746303265815.473","0.2885779496299358","-0.022711726488196575","292465.2005154845"
"","3","Middle 40%","","0.6197768266666667","17148993719659.648","0.2916352844186927","-0.0584549839690429","281768.6033603299"
"","4","Middle 40%","","0.6233348666666666","17036461741500","0.2899681614155499","-0.06743571285582589","279081.0128654497"
"","1","Middle 40%","","0.62644247","17164044995887.686","0.29084413131581544","-0.06322677634120424","280340.58744039305"
"","2","Middle 40%","","0.6286033000000001","17621344670028.47","0.2892211797295023","-0.04109321070284437","286964.3215913046"
"","3","Middle 40%","","0.6321765966666666","17974579365120.08","0.2872220212789308","-0.024259119861430208","292002.12454757903"
"","4","Middle 40%","","0.6360706666666667","18455365391930.316","0.28579933556210313","-0.000680654706802244","299058.2621542607"
"","1","Middle 40%","","0.64056784","19199687127118.24","0.2831028983867298","0.03636757726715985","310145.38852903363"
"","2","Middle 40%","","0.6457140633333334","19560055905672.41","0.283603513043851","0.05222912973625455","314892.1477495152"
"","3","Middle 40%","","0.6498601066666666","19764347902822.035","0.28474792536958726","0.06002250566984671","317224.4086769078"
"","4","Middle 40%","","0.6548841166666667","20444362199887.637","0.28368412107904845","0.09348915345386004","327239.70316065394"
"","1","Middle 40%","","0.6600991466666667","20812250544841.44","0.2837410671838764","0.10888804284575543","331848.0049235852"
"","2","Middle 40%","","0.6649017533333333","21024689258417.062","0.28314282773078203","0.1152933708006718","333764.8758975614"
"","3","Middle 40%","","0.6709489599999999","21372929663006.406","0.28190006484295305","0.1292850951073605","337952.06668437854"
"","4","Middle 40%","","0.6763776933333333","21788743963133.23","0.28172535444226804","0.14686866458207162","343214.16008259344"
"","1","Middle 40%","","0.68114213","22104602653602.934","0.2785155827476954","0.15955948725246685","347012.0405008923"
"","2","Middle 40%","","0.6871816900000001","22085213363260.2","0.2790366023114789","0.1549157992664496","345622.3613501525"
"","3","Middle 40%","","0.6919767033333333","22251950710578.562","0.28059125656331274","0.1605171980792373","347298.6469163983"
"","4","Middle 40%","","0.6945651333333333","22663830373658.426","0.279791558533579","0.179026323264184","352837.7239270428"
