year,program,funding_sources,project_name,project_address,type,units_affordable,units_rehab,units_psh,units_below30,units_below50,units_below60,units_below80,units_marketrate,amt_vhtf,amt_home,amt_nhtf,amt_psh,amt_hiee,amt_other,tenure
2022-2023,CLP,VHTF,Carter Woods III,"4000 Nine Mile Rd, Richmond, VA 23223",,53,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Carter Woods IV,"301 Dabbs House Rd, Richmond, VA 23223",,53,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Claremont School Apartments,"800 Ridge Ave, Pulaski, VA 24301",,50,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Colbrook 2,"8598 Colbrook Hls St, Chester, VA 23831",,47,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Dominion North Four,"1592 Spring Hill Rd, Tysons, VA 22182",,265,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Dominion South Four,"1586 Spring Hill Rd, Tysons, VA 22182",,251,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Emporia Rail Depot Townhomes,"400 Halifax St, Emporia, VA 23847",,52,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,First Christian Church of Falls Church,"6165 Leesburg Pike Falls Church, VA 22044",,95,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Friendship Court Apartments Phase II,"404 Garrett St, Charlottesville, VA 22902",,100,,,,,,,,800000,,,,,,Rental
2022-2023,CLP,VHTF,Goodson Hills,"120 Hope Ln, Bristol, VA 24201",,36,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Goose Creek,"1307 Montgomery Ave, Staunton, VA 24401",,42,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Gosnold II Apartments,"2425 Gosnold Ave, Norfolk, VA 23517",,100,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,Grande Oak II,"6286 Old Mooretown Rd, Williamsburg, VA 23188",,49,,,,,,,,184006,,,,,,Rental
2022-2023,CLP,VHTF,Lafayette Gardens,"2219 Ruffin Rd, Richmond, VA 23234 ",,115,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Legacy Phase II - Rental,"3272 Frederick Douglass Rd, Exmore, VA 23350",,6,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Legacy Plaza Rental,"3254 Thurgood Marshall Rd, Exmore, VA 23350",,35,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Lightfoot Apartments,"100 Bickers St, Culpeper, VA 22701",,60,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Madison Road Apartments,"120 Dogwood Ln, Orange, VA 22960",,21,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,Marbella North Nine,"1320 N Pierce St, Arlington, VA 22209",,96,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,Marbella South Four,"1300 N Pierce St, Arlington, VA 22209",,138,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,Market Heights Apartments 4%,"651 May Ave, Norfolk, VA 23504",,84,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Market Heights Apartments 9%,"601 May Ave, Norfolk, VA 23504",,80,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Middlebrook Trace II,"601 Moore St, Staunton, VA 24401",,48,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,Miller's Rest Apartments,"6125 Old Mill Rd, Lynchburg, VA 24502",,80,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Miller's Rest Apartments III,"6100 Old Mill Rd, Lynchburg, VA 24502",,80,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Monroe North Housing,"810 W Monroe St, Wytheville, VA 24382",,30,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,Mountain Laurel Manor III,"85 Bobby's Way, Staunton, VA 24401",,48,,,,,,,,552000,,,,,,Rental
2022-2023,CLP,VHTF,Northeast 11th Street Housing,"402 11th St NE, Charlottesville, VA 22902",,40,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,Orcutt Townhomes 1,"900 36th St, Newport News, VA 23607",,40,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Pecan Acres Estates Phase II,"633 Pecan St, Petersburg, VA 23803",,84,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Piper Square Apartments,"1529 Piper Square Dr, Hopewell, VA 23860",,104,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Princedale Apartments,"13362 Princedale Dr, Woodbridge, VA 22193",,280,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Seeland Valley Apartments,"299 Future Seeland Rd, Danville, VA 24541",,52,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Sixth Street Phase One,"725 6th St SE, Charlottesville, VA 22902",,47,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Smith Ridge Commons,"5000 Cove Rd, Roanoke, VA 24019",,216,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,South First Street Phase Two,"1052 1st St S, Charlottesville, VA 22902",,113,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,The Arbors at 29 North,"6087 Seminole Trail, Barboursville, VA 22923",,120,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,The Lamb Center,"3160 Campbell Dr, Fairfax, VA 22031",,54,,,,,,,,900000,,,,,,Rental
2022-2023,CLP,VHTF,The Rendezvous,"801 Cedar St, Hopewell, VA 23860",,64,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,The View at Belle Isle,"812 Hull Street, Richmond, VA 23224",,116,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Tidewater Gardens B1,"828 Mariner St, Norfolk, VA 23504",,53,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Tidewater Gardens B2,"312 Chapel St, Norfolk, VA 23504",,70,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Tranquility at the Lakes II,"5827 Burton Station Rd, Virginia Beach, VA 23455",,38,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Twin Pines Senior Apartments,"3993 Twin Pines Rd, Portsmouth, VA 23703",,82,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Tysons North Four,"1590 Spring Hill Rd, Tysons, VA 22182",,265,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Tysons South Four,"1580 Spring Hill Rd, Tysons, VA 22182",,251,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Urban Hope Renewal Project,"1111 N 25th St, Richmond, VA 23223",,14,,,,,,,,600000,,,,,,Rental
2022-2023,CLP,VHTF,Waters at James Crossing,"844 Greenfield Dr, Lynchburg, VA 24501",,288,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Wesley Apartments,"1201 Long Meadows Dr, Lynchburg, VA 24502",,150,,,,,,,,700000,,,,,,Rental
2022-2023,CLP,VHTF,Whites Mill Point II Apartments,"15739 Whites Mill Rd, Abingdon, VA 24210",,32,,,,,,,,700000,,,,,,Rental
