year,program,funding_sources,project_name,project_address,type,units_affordable,units_rehab,units_psh,units_below30,units_below50,units_below60,units_below80,units_marketrate,amt_vhtf,amt_home,amt_nhtf,amt_psh,amt_hiee,amt_other,tenure
2018-2019,CLP,VHTF,Queens Court ,"1615 18th Street N, Arlington, VA 22209-1301",NA,90,0,0,0,45,45,0,0,700000,0,0,0,0,39974418,Rental
2018-2019,CLP,VHTF,Huntington Village,"12770 Nettles Dr., Newport News, VA 23606-0000",NA,96,0,0,10,48,38,0,0,500000,0,0,0,0,18765623,Rental
2018-2019,CLP,"HOME, NHTF, VHTF",Residences at North Hill 47,"7201 Richmond Highway, Alexandria, VA 22306-9998",I/DD,47,0,2,3,10,34,0,0,200000,800000,700000,0,0,19764662,Rental
2018-2019,CLP,"HOME, NHTF, VHTF",Residences at North Hill 94,"7201 Richmond Highway, Alexandria, VA 22306-9998",1/DD,94,0,2,7,15,72,0,0,500000,800000,700000,0,0,35534250,Rental
2018-2019,CLP,VHTF,Brookland Park Apartments,"1224 East Brookland Park Boulevard, Richmond, VA 23222-3113",I/DD,66,0,7,0,7,59,0,0,700000,0,0,0,0,11785605,Rental
2018-2019,CLP,"NHTF, VHTF",Churchhill North Phase 2A Family,"1611 North 31st Street, Richmond, VA 23223-5404",I/DD,70,0,7,17,25,28,0,0,700000,0,700000,0,0,17443742,Rental
2018-2019,CLP,VHTF,American Legion,"3445 Washington Boulevard, Arlington, VA 22201-4507",PSH (Veteran),80,0,8,0,20,50,10,0,700000,0,0,0,0,35359944,Rental
2018-2019,CLP,VHTF,The Arden - Building A,"2317 Huntington Ave., Alexandria, VA 22303-1545",I/DD,79,0,8,0,40,39,0,0,700000,0,0,0,0,35563635,Rental
2018-2019,CLP,VHTF,Crescent Halls,"500 S. First Street, Charlottesville, VA 22901-5651",NA,105,105,11,21,32,52,0,0,800000,0,0,0,0,16474592,Rental
2018-2019,CLP,VHTF,Keswick II,"7700 Keswick Dr., Spotsylvania, VA 22551-2516",10 (I/DD); 12 (Disabled),116,0,22,0,59,57,0,0,700000,0,0,0,0,22182157,Rental
2018-2019,CLP,VHTF,Daffodil Gardens 2,"6000 Fiddlers Green Rd, Gloucester, VA 23061 ",Senior,40,0,40,0,20,20,0,0,325000,0,0,0,0,6647959,Rental
2018-2019,CLP,VHTF,New Lake Anne House,"11444 North Shore Drive, Reston, VA 20190-4250",Senior,240,0,240,0,0,240,0,0,700000,0,0,0,0,83027884,Rental
2019-2020,CLP,VHTF,Keswick Senior Apartments,"8900 Lake Anna Parkway, Spotsylvania, VA 22551-2516",NA,100,0,0,0,50,28,22,0,700000,0,0,0,0,16081672,Rental
2019-2020,CLP,VHTF,Church Hill North Phase 2B,"3201 South Rabza Blvd., Richmond, VA 23223-5404",NA,45,0,0,0,27,18,0,0,700000,0,0,0,0,9264214,Rental
2019-2020,CLP,VHTF,Cameo Street Apartments,"14 W. Jackson Street, Richmond, VA 23220-0000",NA,67,0,0,0,34,33,0,0,800000,0,0,0,0,14459937,Rental
2019-2020,CLP,VHTF,Northway ,"128 Wilson Ave., Galax, VA 24333-3127",NA,72,72,0,0,36,36,0,0,500000,0,0,0,0,7892022,Rental
2019-2020,CLP,VHTF,CLT Scattered Site Homeownership,"203 N. Robinson Street, Richmond, VA 23220-4018",NA,11,0,0,0,0,0,11,0,440000,0,0,0,0,1953990,Homebuyer
2019-2020,CLP,VHTF,Brady Square 9%,"2200 Brady Street, Richmond, VA 23234-0000",NA,66,0,0,3,30,33,0,0,700000,0,0,0,0,13573059,Rental
2019-2020,CLP,"NHTF, VHTF",The Arden - Building B,"2317 Huntington Avenue, Alexandria, VA 22303-1545",NA,47,0,0,4,,42,0,1,800000,0,800000,0,0,19756269,Rental
2019-2020,CLP,VHTF,Mt. Sterling Senior 4%,"Bartholomew Fair Drive, Sterling, VA 20164-0000",Disabled; Seniors,50,0,5,0,5,40,0,0,700000,0,0,0,0,15573483,Rental
2019-2020,CLP,"NHTF, VHTF",South First Street Phase One,"1000 S. 1st Street, Charlottesville, VA 22902-6059",Disabled,62,0,7,13,18,31,0,0,400000,0,400000,0,0,17123790,Rental
2019-2020,CLP,"NHTF, VHTF",Senseny Place,"1527 Senseny Road, Winchester, VA 22602-6423",ID/DD and SMI ,63,0,7,6,26,0,31,0,800000,0,800000,0,0,13222092,Rental
2019-2020,CLP,VHTF,King William Manor ,"141 Pinecrest Lane, Aylett, VA 23009-4182",DD,40,0,7,0,20,20,0,0,700000,0,0,0,0,7442036,Rental
2019-2020,CLP,VHTF,The Waypoint,"3846 King Street, Alexandria, VA 22302-1906",ID/DD and SMI ,81,0,9,9,35,37,0,0,700000,0,0,0,0,36227948,Rental
2019-2020,CLP,VHTF,The Cadence,"4333 Arlington Boulevard, Arlington, VA 22203-2904",NA,97,0,10,0,46,11,40,0,700000,0,0,0,0,46449100,Rental
2019-2020,CLP,"HOME, VHTF, NHTF",Friendship Court Apartments Phase I,"418 Garret Street, Charlottesville, VA 22902-5664",Disabled ,106,0,12,11,44,21,30,0,700000,700000,600000,0,0,35045361,Rental
2019-2020,CLP,"HOME, NHTF, VHTF",Cool Lane Apartments,"1900 Cool Lane, Richmond, VA 23223-3912",Homeless ,86,86,43,0,86,0,0,0,700000,650000,650000,0,0,16083137,Rental
2020-2021,CLP,VHTF,Aaron Mills Apartments,"201 Aaron Street, Martinsville, VA 24112",NA,52,0,0,0,26,26,0,0,700000,0,0,0,0,7245912,Rental
2020-2021,CLP,"VHTF, HIEE",APAH Braddock Four Senior,"9901 Braddock Road, Fairfax, VA 22032",NA,44,0,0,0,8,36,0,0,700000,0,0,0,655000,13258298,Rental
2020-2021,CLP,"VHTF, HIEE",APAH Braddock Nine Senior,"9901 Braddock Road, Fairfax, VA 22032",NA,36,0,0,4,32,0,0,0,700000,0,0,0,555000,11648991,Rental
